S.NO,SECTION,DV,m2,PP,BEEE,FL,FIMS,TOTAL,Total,Percentage,Grade
347.0,EPSILON,19.0,20.0,18.0,20.0,20.0,17.0,1454.0,114.0,95.0,A
348.0,EPSILON,13.0,5.0,6.0,18.0,13.0,5.0,1096.0,60.0,50.0,F
349.0,EPSILON,14.0,3.0,8.0,15.0,18.0,12.0,1164.6666666666667,70.0,58.333333333333336,F
350.0,EPSILON,12.0,3.0,6.0,7.0,15.0,10.0,1053.3333333333333,53.0,44.16666666666666,F
351.0,EPSILON,14.0,0.0,1.0,6.0,6.0,1.0,888.6666666666666,28.0,23.33333333333333,F
352.0,EPSILON,12.0,0.0,4.0,15.0,11.0,9.0,1044.0,51.0,42.5,F
353.0,EPSILON,11.0,0.0,2.0,6.0,16.0,10.0,1006.0,45.0,37.5,F
354.0,EPSILON,16.0,1.0,5.0,15.0,13.0,11.0,1114.6666666666667,61.0,50.83333333333333,F
355.0,EPSILON,11.0,1.0,6.0,16.0,11.0,13.0,1096.6666666666667,58.0,48.333333333333336,F
356.0,EPSILON,12.0,5.0,8.0,16.0,16.0,7.0,1138.6666666666667,64.0,53.333333333333336,F
357.0,EPSILON,16.0,5.0,4.0,15.0,18.0,13.0,1187.3333333333333,71.0,59.16666666666666,F
358.0,EPSILON,9.0,0.0,2.0,3.0,11.0,1.0,889.3333333333334,26.0,21.666666666666668,F
359.0,GAMMA,6.0,0.0,3.0,3.0,10.0,4.0,891.3333333333334,26.0,21.666666666666668,F
360.0,GAMMA,9.0,3.0,3.0,12.0,10.0,5.0,1000.0,42.0,35.0,F
361.0,GAMMA,5.0,3.0,9.0,10.0,10.0,7.0,1015.3333333333331,44.0,36.66666666666666,F
362.0,GAMMA,15.0,8.0,6.0,7.0,15.0,10.0,1130.6666666666667,61.0,50.83333333333333,F
363.0,GAMMA,13.0,9.0,15.0,16.0,20.0,16.0,1319.3333333333333,89.0,74.16666666666667,C
364.0,GAMMA,20.0,12.0,14.0,20.0,20.0,14.0,1394.6666666666667,100.0,83.33333333333334,B
365.0,GAMMA,14.0,1.0,9.0,14.0,10.0,9.0,1110.0,57.0,47.5,F
366.0,GAMMA,18.0,11.0,9.0,20.0,15.0,13.0,1305.3333333333333,86.0,71.66666666666667,C
367.0,GAMMA,16.0,5.0,10.0,20.0,18.0,11.0,1267.3333333333333,80.0,66.66666666666666,D
368.0,GAMMA,19.0,9.0,18.0,17.0,19.0,17.0,1396.0,99.0,82.5,B
369.0,GAMMA,10.0,0.0,4.0,6.0,13.0,9.0,1018.0,42.0,35.0,F
370.0,GAMMA,18.0,15.0,13.0,20.0,15.0,0.0,902.0,0.0,0.0,F
371.0,GAMMA,20.0,17.0,16.0,20.0,20.0,18.0,1482.0,111.0,92.5,A
372.0,GAMMA,13.0,3.0,11.0,15.0,18.0,12.0,1224.0,72.0,60.0,D
373.0,GAMMA,20.0,14.0,18.0,17.0,19.0,15.0,1432.6666666666667,103.0,85.83333333333333,B
